input_len,output_len,loss,bottleneck_size,bottleneck_activation,LSTM_type,num,smape,name
18,12,mae,50,relu,bi,9,13.718994889667162,18_12_50_relu
18,12,mae,50,relu,bi,10,13.284544432709014,18_12_50_relu
18,12,mae,50,relu,bi,11,13.210930585413108,18_12_50_relu
18,12,mae,50,relu,bi,12,13.696642493349424,18_12_50_relu
18,12,mae,50,relu,bi,13,13.733214447075278,18_12_50_relu
18,12,mae,50,relu,bi,14,13.380609949909363,18_12_50_relu
18,12,mae,50,relu,bi,15,13.245348278317282,18_12_50_relu
18,12,mae,50,relu,bi,16,13.13681736051517,18_12_50_relu
18,12,mae,50,relu,bi,17,13.47896021739104,18_12_50_relu
18,12,mae,50,relu,bi,18,13.427704231645176,18_12_50_relu
18,12,mae,50,relu,bi,19,13.215438899471943,18_12_50_relu
18,12,mae,50,relu,bi,20,13.233826693856882,18_12_50_relu
18,12,mae,50,relu,bi,21,13.17132067919938,18_12_50_relu
18,12,mae,50,relu,bi,22,13.491024783784535,18_12_50_relu
18,12,mae,50,relu,bi,23,13.254408594702825,18_12_50_relu
18,12,mae,50,relu,bi,24,13.409495669213959,18_12_50_relu
18,12,mae,50,relu,bi,25,13.85815844442147,18_12_50_relu
18,12,mae,50,relu,bi,26,13.591938450503479,18_12_50_relu
18,12,mae,50,relu,bi,27,13.3701130481234,18_12_50_relu
18,12,mae,50,relu,bi,28,13.520176197730587,18_12_50_relu
18,12,mae,50,relu,bi,29,13.27111997123415,18_12_50_relu
18,12,mae,50,relu,bi,,13.163465830341854,18_12_50_relu
18,12,mae,50,leaky,bi,0,13.551400235363495,18_12_50_leaky
18,12,mae,50,leaky,bi,1,13.61491656492303,18_12_50_leaky
18,12,mae,50,leaky,bi,2,13.125334029172013,18_12_50_leaky
18,12,mae,50,leaky,bi,3,13.497675722655165,18_12_50_leaky
18,12,mae,50,leaky,bi,4,13.536115167483885,18_12_50_leaky
18,12,mae,50,leaky,bi,5,13.713919719987043,18_12_50_leaky
18,12,mae,50,leaky,bi,6,13.382869032829866,18_12_50_leaky
18,12,mae,50,leaky,bi,7,13.177692058204949,18_12_50_leaky
18,12,mae,50,leaky,bi,8,13.20889442729425,18_12_50_leaky
18,12,mae,50,leaky,bi,9,13.236536672867528,18_12_50_leaky
18,12,mae,50,leaky,bi,10,13.298144482860625,18_12_50_leaky
18,12,mae,50,leaky,bi,11,13.277988950849581,18_12_50_leaky
18,12,mae,50,leaky,bi,12,13.467859100433127,18_12_50_leaky
18,12,mae,50,leaky,bi,13,13.327342543499018,18_12_50_leaky
18,12,mae,50,leaky,bi,14,13.277694187781716,18_12_50_leaky
18,12,mae,50,leaky,bi,15,13.92472669191819,18_12_50_leaky
18,12,mae,50,leaky,bi,16,13.490085386916995,18_12_50_leaky
18,12,mae,50,leaky,bi,17,13.643404097293141,18_12_50_leaky
18,12,mae,50,leaky,bi,18,13.141426248680329,18_12_50_leaky
18,12,mae,50,leaky,bi,19,14.454929399294134,18_12_50_leaky
18,12,mae,50,leaky,bi,20,13.179545584323062,18_12_50_leaky
18,12,mae,50,leaky,bi,21,13.270283018083687,18_12_50_leaky
18,12,mae,50,leaky,bi,22,13.184244039345588,18_12_50_leaky
18,12,mae,50,leaky,bi,23,13.161192678162644,18_12_50_leaky
18,12,mae,50,leaky,bi,24,13.32947954321877,18_12_50_leaky
18,12,mae,50,leaky,bi,25,13.175049453159552,18_12_50_leaky
18,12,mae,50,leaky,bi,26,13.330504924730905,18_12_50_leaky
18,12,mae,50,leaky,bi,27,13.616216482378123,18_12_50_leaky
18,12,mae,50,leaky,bi,28,13.18516843751079,18_12_50_leaky
18,12,mae,50,leaky,bi,29,13.690131065569345,18_12_50_leaky
18,12,mae,50,leaky,bi,,13.172828909899556,18_12_50_leaky
18,12,mae,25,tanh,bi,0,13.198476501165484,18_12_25_tanh
18,12,mae,25,tanh,bi,1,13.359969581607775,18_12_25_tanh
18,12,mae,25,tanh,bi,2,13.384060864177336,18_12_25_tanh
18,12,mae,25,tanh,bi,3,13.294842056193858,18_12_25_tanh
18,12,mae,25,tanh,bi,4,13.355280135745703,18_12_25_tanh
18,12,mae,25,tanh,bi,5,13.160274682680601,18_12_25_tanh
18,12,mae,25,tanh,bi,6,13.34579201448681,18_12_25_tanh
18,12,mae,25,tanh,bi,7,13.63110843837077,18_12_25_tanh
18,12,mae,25,tanh,bi,8,13.855597384376356,18_12_25_tanh
18,12,mae,25,tanh,bi,9,13.22718676785569,18_12_25_tanh
18,12,mae,25,tanh,bi,10,13.828624514678125,18_12_25_tanh
18,12,mae,25,tanh,bi,11,13.750862641922081,18_12_25_tanh
18,12,mae,25,tanh,bi,12,13.441885539544852,18_12_25_tanh
18,12,mae,25,tanh,bi,13,13.279545928360545,18_12_25_tanh
18,12,mae,25,tanh,bi,14,13.143168360688453,18_12_25_tanh
18,12,mae,25,tanh,bi,15,13.315792484148972,18_12_25_tanh
18,12,mae,25,tanh,bi,16,13.145283314043875,18_12_25_tanh
18,12,mae,25,tanh,bi,17,13.281249735811128,18_12_25_tanh
18,12,mae,25,tanh,bi,18,13.19039410123615,18_12_25_tanh
18,12,mae,25,tanh,bi,19,13.33250474866736,18_12_25_tanh
18,12,mae,25,tanh,bi,20,13.292178333269739,18_12_25_tanh
18,12,mae,25,tanh,bi,21,13.205108178407855,18_12_25_tanh
18,12,mae,25,tanh,bi,22,13.290310878154715,18_12_25_tanh
18,12,mae,25,tanh,bi,23,13.346165640452005,18_12_25_tanh
18,12,mae,25,tanh,bi,24,13.378171674749355,18_12_25_tanh
18,12,mae,25,tanh,bi,25,13.272129818007292,18_12_25_tanh
18,12,mae,25,tanh,bi,26,13.220618049481468,18_12_25_tanh
18,12,mae,25,tanh,bi,27,13.486855455645962,18_12_25_tanh
18,12,mae,25,tanh,bi,28,13.156922763452634,18_12_25_tanh
18,12,mae,25,tanh,bi,29,13.455947682202996,18_12_25_tanh
18,12,mae,25,tanh,bi,,13.17785867310532,18_12_25_tanh
18,20,mae,50,leaky,bi,0,13.747782617844788,18_20_50_leaky
18,20,mae,50,leaky,bi,1,13.085712288421906,18_20_50_leaky
18,20,mae,50,leaky,bi,2,13.677062633080919,18_20_50_leaky
18,20,mae,50,leaky,bi,3,13.210290316605926,18_20_50_leaky
18,20,mae,50,leaky,bi,4,13.478769008663777,18_20_50_leaky
18,20,mae,50,leaky,bi,5,13.50321550109043,18_20_50_leaky
18,20,mae,50,leaky,bi,6,13.290652502221945,18_20_50_leaky
18,20,mae,50,leaky,bi,7,13.454745613392575,18_20_50_leaky
18,20,mae,50,leaky,bi,8,13.373614268135128,18_20_50_leaky
18,20,mae,50,leaky,bi,9,13.72396734962114,18_20_50_leaky
18,20,mae,50,leaky,bi,10,14.038520347837263,18_20_50_leaky
18,20,mae,50,leaky,bi,11,13.295725697853765,18_20_50_leaky
18,20,mae,50,leaky,bi,12,13.132387365916403,18_20_50_leaky
18,20,mae,50,leaky,bi,13,13.233806267511353,18_20_50_leaky
18,20,mae,50,leaky,bi,14,13.261661658640293,18_20_50_leaky
18,20,mae,50,leaky,bi,15,13.229555941427323,18_20_50_leaky
18,20,mae,50,leaky,bi,16,13.149836094626949,18_20_50_leaky
18,20,mae,50,leaky,bi,17,13.803002548723173,18_20_50_leaky
18,20,mae,50,leaky,bi,18,13.535074168901323,18_20_50_leaky
18,20,mae,50,leaky,bi,19,13.386925808664364,18_20_50_leaky
18,20,mae,50,leaky,bi,20,13.130419621821133,18_20_50_leaky
18,20,mae,50,leaky,bi,21,13.232248528162382,18_20_50_leaky
18,20,mae,50,leaky,bi,22,13.415171527983238,18_20_50_leaky
18,20,mae,50,leaky,bi,23,13.436560446953727,18_20_50_leaky
18,20,mae,50,leaky,bi,24,13.629194964261382,18_20_50_leaky
18,20,mae,50,leaky,bi,25,13.42476204531821,18_20_50_leaky
18,20,mae,50,leaky,bi,26,13.243058816589597,18_20_50_leaky
