input_len,output_len,aug,loss,bottleneck_size,bottleneck_activation,model_type,kernel_size,optimizer,learning_rate,num,line,smape,mase*
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,44.0,False,13.062320422021244,2.6676115430684577
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,45.0,False,13.167756974067045,2.695230113859054
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,46.0,False,13.087151992586993,2.686249148480381
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,47.0,False,13.023912689557294,2.6726134734821274
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,48.0,False,13.01161171039116,2.668454986403624
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,49.0,False,13.014420585649404,2.6637921051551814
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,50.0,False,13.011900803035864,2.6651581867211176
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,51.0,False,13.0158217315878,2.6633031340252398
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,52.0,False,13.00889732280278,2.6581452403960117
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,53.0,False,13.039059536415115,2.6701150489791456
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,54.0,False,13.044273644963365,2.663009932056447
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,55.0,False,13.028943536815838,2.660804939736977
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,56.0,False,13.053724428312904,2.6689029125305748
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,57.0,False,13.056861425469327,2.667265670984366
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,58.0,False,13.05142953814044,2.6639766669702523
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,59.0,False,13.052881326563066,2.661620119679432
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,,False,13.004365481288884,2.66337016312168
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,0.0,False,13.135663659287966,2.6932001737832456
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,1.0,False,13.04929419185909,2.676156270542726
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,2.0,False,13.005983923753107,2.665582698609104
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,3.0,False,13.01255269374511,2.6632202958508606
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,4.0,False,13.005473850971697,2.659892546400059
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,5.0,False,13.016680042029801,2.6604166142348045
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,6.0,False,13.02247665212024,2.659907384145032
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,7.0,False,13.058539567377805,2.669173206657812
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,8.0,False,13.032869022121506,2.6593262169519623
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,9.0,False,13.054173862165866,2.6664927507472136
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,10.0,False,13.049162699845068,2.66711489886426
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,11.0,False,13.059653245551505,2.66776094103514
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,12.0,False,13.027521703175767,2.6604653476825284
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,13.0,False,13.062324478689682,2.6672654686228867
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,14.0,False,13.05915898680812,2.6657368371909893
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,15.0,False,13.09745332516143,2.6836475646701334
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,16.0,False,13.035060717664376,2.6706797570953644
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,17.0,False,13.023448421739461,2.6695658786027727
18,14,0.95,mae,700,relu,conv3,5,adam,0.001,18.0,False,12.992932762775268,2.6618940968564546
